Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Revaluation Reserves,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Government/Other Grants,Deferred Tax Assets [Net],Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,118.93,118.93,907.64,932.87,0.0,1051.8,499.07,181.7,0.0,0.0,680.77,0.0,600.71,81.39,150.44,832.54,2565.11,844.19,30.64,46.27,0.0,921.1,146.6,0.0,32.32,1101.44,0.0,506.94,405.62,324.97,226.13,0.0,1463.67,2565.11,335.18,44.93,22.06,294.16,8.7,6.23,212.01,48.36,0.0,25.23,69.19,0.0,0.0,14.94,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,118.93,118.93,1024.35,1048.94,0.0,1167.87,442.96,174.74,0.0,0.0,617.69,437.45,861.89,99.3,204.48,1603.12,3388.68,854.28,39.57,85.16,0.0,979.0,229.19,0.0,19.33,1231.41,0.0,568.08,458.77,796.68,333.73,0.0,2157.26,3388.68,699.23,69.89,33.09,522.88,22.37,6.23,354.36,54.49,0.0,24.59,63.58,0.0,0.0,42.69,0.0,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,122.16,122.16,1266.35,1290.29,0.0,1412.45,347.05,187.3,0.0,0.0,534.35,344.87,1045.95,100.94,261.62,1753.39,3700.2,896.46,46.81,198.32,0.0,1141.59,368.18,0.0,7.31,1524.68,0.0,902.56,424.34,602.88,245.74,0.0,2175.51,3700.2,946.29,78.15,44.12,451.31,21.07,6.23,469.8,56.28,0.0,23.95,73.88,0.0,0.0,71.87,0.0,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,132.39,132.39,1739.23,1762.18,0.0,1894.57,473.65,214.35,0.0,0.0,687.99,166.75,1433.69,217.94,104.23,1922.61,4505.17,1257.18,49.86,407.7,0.0,1714.74,221.09,0.0,24.42,1977.67,0.0,1070.32,522.88,434.94,499.37,0.0,2527.5,4505.17,1129.49,129.61,52.94,629.22,29.04,6.23,281.39,43.22,0.0,22.96,144.57,0.0,0.0,243.52,0.0,17.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,133.03,133.03,1993.57,2015.95,0.0,2148.98,883.49,269.78,0.0,0.0,1153.27,4.01,1735.11,191.6,345.23,2275.95,5578.2,1460.56,64.99,661.08,0.0,2186.63,609.9,0.0,22.29,2834.79,0.0,1223.91,375.84,451.37,692.3,0.0,2743.42,5578.2,1783.97,201.72,66.18,756.05,56.72,6.23,391.84,365.07,0.0,22.38,176.85,0.0,0.0,136.17,0.0,15.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,133.03,133.03,1976.0,3340.86,0.0,3473.9,1961.99,338.43,0.0,0.0,2300.41,0.0,1771.29,97.57,268.08,2136.95,7911.26,3323.61,75.5,1043.19,0.0,4442.31,263.56,0.0,9.69,4790.54,0.0,1330.01,957.97,88.08,744.64,0.0,3120.71,7911.26,754.37,327.71,66.18,863.08,119.98,6.23,193.98,101.69,0.0,1364.86,261.69,0.0,0.0,293.82,0.0,74.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,133.03,133.03,2190.1,3523.27,0.0,3656.31,2203.89,410.62,0.0,0.0,2614.51,0.0,2331.68,260.39,368.69,2960.76,9308.12,4165.48,84.08,619.71,0.0,4869.26,326.15,0.0,5.17,5226.67,0.0,1638.24,1022.06,518.92,902.23,0.0,4081.45,9308.12,445.03,227.64,44.12,604.11,40.34,6.23,328.36,244.01,0.0,1333.17,303.9,0.0,0.0,271.15,76.55,26.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,133.03,133.03,2523.65,3829.93,0.0,3962.96,2348.13,443.89,0.0,78.46,2870.48,0.0,2308.51,1034.42,416.94,3759.87,10593.31,4344.38,289.41,200.7,157.27,4991.76,1230.0,384.63,3.16,6609.54,0.0,2208.9,1164.5,179.53,334.39,96.45,3983.77,10593.31,881.77,263.2,66.18,1109.09,67.47,6.23,524.13,1117.49,0.0,1306.28,444.59,10.07,16.35,92.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,266.07,266.07,2628.75,3942.11,0.0,4208.17,2293.35,490.37,3.59,76.56,2863.87,101.75,2772.46,1549.12,420.37,4843.7,11915.75,4565.71,347.78,435.19,113.03,5461.72,1534.48,608.24,7.43,7611.86,0.0,2230.63,1230.25,32.56,727.09,83.37,4303.89,11915.75,985.92,327.62,88.23,1540.36,105.59,139.26,681.52,1362.95,0.0,1313.36,440.39,15.68,21.52,172.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,266.07,266.07,2892.39,4189.04,0.0,4455.1,2737.84,527.37,1.78,78.51,3345.5,766.98,2485.37,1735.06,308.68,5296.1,13096.7,4918.43,363.45,562.62,126.31,5970.81,2337.63,479.7,12.03,8800.17,0.0,1896.02,1419.41,13.94,890.98,76.18,4296.53,13096.7,320.7,299.92,102.84,1425.43,92.33,139.26,551.31,2259.81,0.0,1296.65,403.91,5.04,33.39,280.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,266.07,266.07,3007.89,4181.82,0.0,4447.88,3296.51,406.77,2.37,67.87,3773.51,587.41,2214.15,1696.91,88.13,4586.6,12808.0,5221.93,437.94,155.13,26.4,5841.39,2405.31,672.77,33.09,8952.56,384.37,1188.7,1299.01,11.69,800.71,170.95,3855.44,12808.0,374.65,280.02,61.71,1242.3,49.74,139.26,273.11,2384.37,384.37,1173.93,98.53,3.91,75.66,38.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,284.59,284.59,3812.3,4834.11,0.0,5118.69,2566.34,510.27,2.06,78.61,3157.28,25.0,2828.32,1926.15,256.05,5035.52,13311.49,4882.48,373.07,69.8,50.35,5375.7,2240.38,982.92,19.5,8618.5,408.45,1398.53,1257.69,751.29,568.82,308.21,4693.0,13311.49,479.22,372.09,0.0,1909.04,76.05,139.26,467.5,2443.64,408.45,1021.81,356.3,4.28,65.55,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,284.59,284.59,5122.56,5122.56,0.0,5407.15,1821.04,329.1,203.47,122.81,2476.43,25.0,2562.69,2113.44,189.05,4890.18,12773.75,4453.7,338.28,54.75,21.11,4867.84,1980.44,97.62,646.9,7592.8,0.0,1625.01,1250.95,1593.13,70.6,641.25,5180.95,12773.75,547.55,456.87,43.19,2009.03,108.07,139.26,22.06,2516.32,0.0,0.0,320.12,4.65,43.64,22.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,284.59,284.59,5841.48,5841.48,0.0,6126.07,1146.32,126.9,86.48,132.55,1492.26,198.64,3116.99,2587.81,518.31,6421.75,14040.07,4656.1,314.71,157.6,48.27,5176.67,2001.68,45.57,716.02,7939.95,877.17,2631.03,1064.39,911.97,21.47,594.09,5977.12,14040.07,665.35,444.3,0.0,1710.73,115.47,139.26,0.0,2410.33,877.17,0.0,206.12,6.94,65.45,45.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,292.71,292.71,6952.83,6952.83,0.0,7245.54,512.55,298.58,205.18,255.04,1271.35,100.0,4887.9,3023.11,808.49,8819.5,17336.39,4811.43,736.54,234.33,188.31,5970.61,2451.51,33.54,817.26,9272.92,3155.16,1758.33,944.78,1042.16,24.1,1138.94,8063.47,17336.39,713.07,417.35,0.0,1967.19,125.51,139.26,0.0,3123.98,3155.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,293.55,293.55,8031.75,8031.75,7.13,8332.43,298.4,249.73,305.25,249.63,1103.01,100.0,5018.93,2867.26,802.77,8788.96,18224.4,4805.98,808.53,274.64,382.98,6272.13,2636.5,31.71,1097.72,10038.06,0.0,2684.67,2505.53,1373.59,22.46,1600.09,8186.34,18224.4,927.91,237.47,0.0,1486.88,74.58,139.26,0.0,2635.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,293.55,293.55,6947.25,6947.25,23.19,7263.99,1353.86,264.82,327.32,180.69,2126.69,1710.97,2623.91,2039.2,624.85,6998.93,16389.61,5443.12,1360.45,420.97,173.17,7397.71,2719.63,32.42,816.36,10966.12,0.0,1238.0,1179.82,1322.47,23.0,1660.2,5423.49,16389.61,856.79,168.97,0.0,1389.56,0.0,139.26,0.0,2719.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,293.55,293.55,6683.65,6683.65,0.0,6977.2,2558.01,384.29,67.0,189.57,3198.87,1158.24,5164.69,1485.95,464.96,8273.84,18449.91,5599.2,1451.19,228.78,143.07,7422.24,3068.72,20.5,486.92,10998.38,0.0,2142.29,2816.0,822.95,20.62,1649.67,7451.53,18449.91,0.0,0.0,0.0,0.0,0.0,139.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,293.55,293.55,7043.35,7043.35,0.0,7336.9,2850.61,144.36,254.41,200.21,3449.59,656.49,6875.23,1545.32,470.25,9547.29,20333.78,5273.7,1327.2,111.11,83.16,6795.17,3521.58,0.0,495.22,10811.97,1298.05,2075.2,3111.02,1046.96,0.0,1990.58,9521.81,20333.78,1314.8,166.28,0.0,1440.25,0.0,139.26,0.0,3521.01,1298.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,293.61,293.61,8094.32,8094.32,37.87,8425.8,1766.23,503.51,304.07,519.22,3093.03,1413.87,7175.12,1964.49,519.32,11072.8,22591.63,4984.83,1319.32,48.95,83.57,6436.67,3892.18,0.0,559.16,10888.01,2771.42,2774.48,4062.08,501.29,0.0,1594.35,11703.62,22591.63,1588.58,210.44,0.0,1792.19,0.0,139.26,0.0,3891.61,2771.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,293.63,293.63,8516.74,8516.74,0.0,8810.37,1131.64,556.31,334.16,724.07,2746.18,1122.89,6305.19,3976.44,650.68,12055.2,23611.75,4737.52,1214.28,95.53,106.0,6153.33,5310.71,0.0,484.62,11948.66,249.06,3190.69,3569.65,3438.18,95.0,1120.51,11663.09,23611.75,1583.96,145.98,0.0,1663.67,0.0,139.26,0.0,5310.14,249.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
