Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Preference Share Capital,Deferred Tax Liabilities [Net],Inventories,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,25.36,48.36,197.2,197.2,245.56,0.0,838.18,0.0,0.0,841.95,449.54,24.71,53.39,618.91,1706.42,24.82,0.89,0.0,0.0,0.0,25.71,3.87,7.83,114.85,0.0,49.25,31.14,358.45,1.98,1591.58,1706.42,0.99,0.29,0.0,0.8,30.42,53.42,0.0,0.0,91.27,77.43,0.0,23.0,3.78,1150.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,38.01,48.01,264.74,264.74,312.75,0.0,924.29,0.0,0.0,925.78,406.64,7.06,43.35,566.43,1804.95,14.66,1.38,0.0,0.0,0.0,16.04,3.35,3.7,151.84,0.0,0.0,41.71,409.96,0.73,1653.11,1804.95,7.03,0.8,0.0,0.8,31.42,107.16,0.0,0.0,109.38,128.76,0.0,10.0,1.49,1200.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,38.01,38.01,277.71,277.71,315.73,0.0,1095.34,0.0,0.0,1095.34,604.51,3.47,48.7,783.59,2194.66,19.57,1.4,1.17,0.0,0.0,22.14,2.86,4.17,97.78,0.0,0.0,63.82,541.15,11.69,2096.87,2194.66,8.85,0.27,0.0,0.8,15.62,51.78,0.0,0.0,126.92,68.61,0.0,0.0,0.0,1480.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,38.01,38.01,288.34,288.34,326.35,0.0,2639.79,0.0,0.0,2644.07,579.05,21.6,136.16,882.79,3853.21,29.44,3.5,0.7,0.0,0.0,33.64,7.78,3.91,124.09,0.0,0.0,271.62,3394.79,62.71,3729.12,3853.21,6.47,0.0,0.0,0.8,15.1,62.34,0.0,0.0,145.99,78.76,0.0,0.0,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,52.24,52.24,506.39,506.39,558.63,0.0,3727.56,0.0,0.0,3735.22,1670.01,39.61,278.04,2230.58,6524.42,41.55,6.04,1.38,0.0,0.0,48.97,29.03,7.68,259.62,0.0,0.0,533.67,5650.31,80.81,6264.8,6524.42,9.91,1.49,0.0,0.8,10.49,162.88,0.0,0.0,242.92,173.94,0.0,0.0,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,66.47,366.47,414.54,414.54,781.01,0.0,3114.54,0.0,0.0,3120.84,2276.46,27.38,301.23,3257.44,7159.29,22.13,11.71,0.0,0.0,0.0,33.84,156.44,14.51,633.52,0.0,0.0,1557.82,4941.35,26.6,6525.76,7159.29,16.19,0.81,0.0,0.8,9.27,419.38,0.0,0.0,652.37,428.73,0.0,300.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,66.47,366.47,418.53,418.53,785.01,0.0,3635.23,0.0,0.0,3645.32,1759.26,52.09,255.59,2490.53,6920.86,-1.2,14.95,0.03,0.0,0.0,13.78,165.01,0.0,398.12,0.0,0.0,745.13,5769.96,7.64,6522.74,6920.86,19.99,7.31,0.0,0.8,4.1,215.17,0.0,0.0,423.6,219.33,0.0,300.0,10.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,119.35,119.35,952.64,952.64,1071.99,0.03,5615.52,29.58,50.18,5695.27,1066.66,55.67,1474.35,2910.97,9678.26,31.19,1.99,0.0,0.0,0.0,33.17,130.6,382.02,6091.76,0.0,0.0,168.78,3240.15,177.56,3586.5,9678.26,97.49,4.63,0.0,0.8,4.0,85.15,0.0,0.0,314.29,68.28,5477.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,132.62,132.62,1284.67,1284.67,1417.28,0.0,7154.55,19.37,52.95,7226.87,1548.06,89.52,3025.07,4778.45,13422.6,49.45,3.71,0.0,0.0,0.0,53.16,51.13,364.7,8914.45,4.01,0.0,258.4,4009.51,236.23,4508.15,13422.6,57.06,2.79,0.0,0.8,0.0,145.15,3.99,0.0,115.8,57.69,8387.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,143.17,143.17,1821.59,1821.59,1964.77,0.0,8298.71,48.46,88.2,8435.36,6990.3,143.88,497.21,7784.66,18184.8,65.18,5.47,0.0,0.0,0.0,70.65,68.86,457.32,12207.51,141.73,0.0,388.97,5164.73,281.87,5977.29,18184.8,57.3,0.28,0.0,0.8,0.0,169.17,0.0,135.0,153.28,82.78,11527.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,143.26,143.26,2151.44,2151.44,2294.7,0.01,9833.0,32.6,110.49,9976.09,8260.19,124.56,650.22,9276.0,21546.8,67.92,4.98,0.0,0.0,0.0,72.9,129.65,612.18,14031.57,16.3,0.0,800.84,6363.4,334.69,7515.23,21546.8,73.91,0.59,0.0,0.8,0.0,75.65,0.0,16.3,241.03,66.12,13150.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,143.73,643.73,2528.92,2528.92,3172.66,0.68,12447.5,42.59,320.56,12810.64,7027.74,150.71,645.53,7889.25,23873.23,64.72,3.61,0.0,0.0,0.0,68.33,183.62,605.09,16447.94,7.3,0.0,340.66,6735.15,342.17,7425.28,23873.23,144.23,5.17,0.0,0.8,0.0,69.71,0.0,7.3,65.26,60.18,15530.72,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,156.21,156.21,3501.17,3501.17,3657.38,0.03,10934.73,82.02,492.77,11509.52,11641.49,196.39,728.25,12721.38,27888.31,105.41,5.91,0.0,0.0,0.0,111.32,281.49,448.51,19160.83,1.89,0.0,490.47,7759.8,475.32,8727.48,27888.31,374.25,3.39,3.07,0.8,0.0,74.21,0.0,1.89,155.25,64.68,18254.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,156.34,156.34,4128.4,4128.4,4284.74,0.18,20840.14,196.19,586.21,21622.53,3268.96,275.13,1056.82,4687.34,30594.8,118.09,21.95,0.0,0.0,0.0,140.04,315.16,20465.41,21230.33,46.1,0.0,470.64,51.1,8796.63,9364.47,30594.8,831.9,1.61,5.83,0.8,0.0,192.44,0.0,46.1,86.44,192.48,117.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,156.4,156.4,4941.74,4941.74,5098.14,0.0,38330.33,50.51,63.43,38444.27,0.0,271.1,276.22,547.32,44089.73,140.05,20.7,0.0,3.8,0.05,164.6,361.71,172.03,698.34,72.92,94.0,887.95,42253.23,83.29,43391.39,44089.73,993.85,2.01,10.3,0.8,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,156.43,156.43,6019.31,6019.31,6175.74,0.0,50566.74,52.96,74.02,50693.72,0.0,336.36,220.48,556.84,57426.3,142.86,19.76,0.0,13.1,0.14,175.86,453.0,170.9,799.76,72.92,43.49,3674.85,52622.27,213.01,56626.54,57426.3,1453.72,2.77,9.85,0.8,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,163.98,163.98,8007.86,8007.86,8171.84,0.0,11732.35,45.76,90.76,11868.87,43273.08,302.39,386.21,43961.68,64002.39,255.99,17.47,0.0,10.26,0.14,283.86,520.83,176.74,981.43,72.92,58.74,6959.1,55402.73,527.47,63020.96,64002.39,1634.67,129.4,11.02,0.8,0.0,0.0,0.0,72.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,164.07,164.07,9396.24,9396.24,9560.31,0.0,16547.73,88.02,109.58,16745.33,47182.26,440.93,619.59,48242.78,74548.42,203.02,16.45,0.0,9.82,0.13,229.42,763.8,190.08,1183.3,1618.82,66.43,5231.88,65839.34,608.65,73365.12,74548.42,2055.69,146.22,17.33,0.8,0.0,0.0,0.0,1618.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,164.28,164.28,11543.4,11543.4,11707.68,0.0,17168.98,58.11,118.27,17345.36,52004.52,802.8,502.99,53310.31,82363.35,239.89,14.55,23.03,13.95,0.13,291.55,671.43,319.5,1282.48,2076.16,128.01,4220.08,74149.21,507.41,81080.87,82363.35,2196.95,220.51,418.7,0.8,0.0,0.0,0.0,2076.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,164.48,164.48,14131.57,14131.57,14296.05,0.0,24169.87,46.12,140.88,24356.87,73186.19,1188.02,488.38,74862.59,113515.51,372.17,26.43,35.74,24.6,0.13,459.07,608.5,372.49,1440.06,3620.02,191.06,2961.42,104748.32,554.63,112075.45,113515.51,3290.11,217.94,0.0,0.8,0.0,0.0,0.0,2078.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,168.06,168.06,19386.86,19386.86,19554.92,1.59,29962.45,82.23,192.7,30237.38,104511.13,1453.42,692.33,106656.88,156450.77,1534.0,23.01,0.0,12.45,0.13,1569.59,654.15,456.74,2680.48,4100.23,399.46,4320.15,144424.29,526.16,153770.29,156450.77,4277.6,479.47,0.0,0.8,0.0,0.0,0.0,4100.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,168.25,168.25,23459.15,23459.15,23627.4,0.0,0.0,94.62,233.62,328.24,174946.11,1722.51,1023.33,177691.95,201647.59,1754.2,24.96,3.69,0.0,0.0,1782.85,946.72,339.77,3069.34,6390.39,304.22,9400.68,181929.9,553.06,198578.25,201647.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
