Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,30.59,30.59,508.03,508.03,538.62,68.54,29.51,0.0,0.0,98.06,119.45,61.84,33.4,14.91,229.6,866.28,189.03,12.51,99.05,300.6,306.73,0.0,0.0,607.33,0.0,115.75,38.49,6.78,0.0,258.95,866.28,68.31,0.64,0.4,56.64,0.0,29.21,314.59,43.34,0.0,0.0,97.93,31.14,0.0,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,30.59,30.59,470.24,470.24,500.82,52.33,27.38,0.0,0.0,79.71,79.73,15.79,28.72,234.4,358.63,939.17,190.89,12.83,8.08,211.8,249.07,0.0,0.0,469.81,0.0,120.91,43.11,7.0,0.0,469.36,939.17,72.47,4.25,0.52,46.49,0.0,29.21,316.39,46.24,0.0,0.0,298.35,40.98,0.0,0.21,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,30.59,30.59,505.54,505.54,536.13,52.38,28.98,0.0,0.0,81.36,181.94,34.9,59.07,249.82,525.74,1143.23,210.4,12.83,5.56,228.78,272.24,0.0,0.0,508.7,0.0,208.43,75.91,59.24,0.0,634.53,1143.23,154.32,2.35,0.58,36.84,0.0,29.21,421.98,11.31,0.0,0.0,290.94,108.44,0.0,2.88,7.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,30.59,30.59,549.48,549.48,580.07,137.38,27.49,0.0,0.0,164.87,127.96,54.37,47.11,282.9,512.33,1257.26,190.01,12.83,105.11,307.94,283.32,0.0,0.0,597.9,0.0,192.3,78.8,61.07,0.0,659.37,1257.26,206.16,3.5,0.74,67.25,0.01,29.21,449.26,12.15,0.0,0.0,327.19,90.06,0.0,26.91,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,30.59,30.59,610.93,610.93,641.52,172.29,23.15,0.0,0.0,195.44,115.32,79.25,87.1,320.22,601.89,1438.85,192.68,12.83,172.87,378.37,316.85,0.0,0.0,700.9,0.0,236.08,107.55,21.4,0.0,737.95,1438.85,269.87,3.69,0.86,77.91,1.63,29.21,450.58,13.29,0.0,0.0,372.91,131.09,0.0,25.51,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,30.59,30.59,565.63,565.63,596.22,204.54,32.44,0.0,0.0,236.98,91.33,59.26,103.66,8.47,262.72,1095.92,402.79,12.83,40.09,455.7,314.1,0.0,0.0,780.13,0.0,143.6,57.67,28.12,0.0,315.79,1095.92,178.27,9.46,0.92,77.62,0.01,29.21,251.63,33.71,0.0,0.0,86.4,110.28,0.0,30.16,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,30.59,30.59,612.52,612.52,643.11,235.08,31.91,0.0,0.0,266.99,40.04,53.28,124.76,14.56,232.64,1142.74,405.93,12.83,28.83,447.58,280.28,0.0,0.0,727.86,0.0,220.95,71.05,37.16,0.0,414.88,1142.74,209.21,5.46,0.12,58.28,0.0,29.21,366.42,45.58,0.0,0.0,85.72,140.23,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,30.59,30.59,686.89,686.89,717.48,97.04,31.04,52.99,0.61,181.68,29.19,30.69,244.34,16.24,320.46,1219.62,403.29,0.04,18.76,422.09,209.03,14.29,0.0,645.41,36.12,280.84,130.24,21.29,0.56,574.21,1219.62,332.52,7.51,0.37,39.37,0.0,29.21,360.59,56.77,51.13,0.0,105.16,89.55,2.2,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,30.59,30.59,769.84,769.84,800.43,116.22,32.61,34.39,0.27,183.49,38.32,56.38,118.99,18.71,232.4,1216.32,429.19,0.04,12.02,441.25,218.88,4.02,0.0,664.15,18.33,281.14,114.09,49.0,0.0,552.17,1216.32,308.99,6.49,0.43,48.39,0.0,29.21,213.64,66.62,25.89,0.0,89.61,73.19,1.96,21.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,30.59,30.59,893.73,893.73,924.32,145.15,34.47,1.36,52.83,233.81,17.11,63.29,139.12,26.49,246.01,1404.14,412.07,0.04,35.73,447.84,217.39,16.65,19.08,700.96,106.7,329.63,149.65,39.81,0.21,703.18,1404.14,536.65,3.81,0.49,48.69,0.0,29.21,360.59,65.13,112.04,0.0,77.18,126.3,2.1,9.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,30.59,30.59,1072.78,1072.78,1103.37,126.69,29.52,1.79,3.53,161.53,0.0,52.68,159.04,87.35,299.07,1563.97,495.8,0.04,10.7,506.54,226.08,4.77,26.49,763.88,177.06,352.4,145.17,64.86,0.09,800.09,1563.97,413.9,4.0,0.73,49.44,0.0,29.21,787.74,73.82,192.11,0.0,60.51,203.58,2.09,28.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,30.59,30.59,1234.22,1234.22,1264.81,51.21,30.05,0.41,4.97,86.64,0.03,50.25,190.1,41.93,282.31,1633.76,463.32,0.47,6.67,470.46,225.66,4.26,19.29,719.67,268.56,318.62,118.61,138.37,0.0,914.09,1633.76,344.6,1.11,0.97,53.95,0.0,29.21,1175.59,73.4,288.77,0.0,69.93,128.7,0.88,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,30.59,30.59,1437.04,1437.04,1467.63,25.75,22.99,0.4,4.91,54.05,0.0,105.0,134.85,56.74,296.59,1818.27,424.38,0.45,3.14,427.97,226.9,6.57,0.05,661.49,389.6,336.81,125.92,218.82,0.01,1156.78,1818.27,324.02,0.68,1.09,41.65,0.0,29.21,1501.57,74.64,406.62,0.0,85.62,172.2,2.72,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,30.59,30.59,1846.85,1846.85,1877.44,0.83,18.27,0.19,6.01,25.3,188.29,0.0,49.12,36.0,273.41,2176.15,413.67,1.2,8.15,423.02,425.37,4.2,68.12,920.71,470.5,462.01,124.39,175.84,22.7,1255.44,2176.15,154.33,0.0,0.0,0.0,0.0,29.21,2387.44,207.0,0.0,470.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,30.59,30.59,2163.31,2163.31,2193.9,0.55,34.93,0.0,6.97,42.45,177.45,0.0,31.78,30.47,239.7,2476.05,408.0,0.99,5.2,414.19,513.84,3.75,34.39,966.17,700.98,499.06,174.92,103.61,31.31,1509.88,2476.05,248.18,171.63,0.0,0.0,27.49,29.21,2699.98,279.75,0.0,700.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,30.59,30.59,2409.08,2409.08,2439.67,0.38,58.34,0.0,9.42,68.14,0.0,208.27,47.1,5.82,261.19,2769.0,403.5,0.71,10.36,414.57,613.95,3.82,44.64,1076.98,767.92,587.2,210.88,48.8,77.22,1692.02,2769.0,252.01,344.19,0.0,0.0,30.44,29.21,2093.0,484.99,0.0,767.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,30.59,30.59,2688.04,2688.04,2718.63,0.34,36.06,5.23,12.61,54.24,0.0,158.68,73.63,6.61,238.92,3011.79,386.08,0.45,27.29,413.82,479.34,3.87,45.59,942.62,246.55,593.06,187.02,933.88,108.66,2069.17,3011.79,251.49,239.8,0.0,0.0,25.7,29.21,21.98,243.49,0.0,246.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,30.59,30.59,2920.12,2920.12,2950.71,0.31,34.1,4.18,11.72,50.31,0.0,176.03,67.86,6.85,250.74,3251.76,394.22,0.21,25.71,420.14,428.2,4.38,55.66,908.38,509.0,755.4,176.55,53.72,848.71,2343.38,3251.76,277.97,130.09,0.0,0.0,30.87,29.21,51.42,165.44,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,30.59,30.59,3233.2,3233.2,3263.79,0.28,26.14,6.34,9.98,42.74,0.03,190.05,98.49,5.08,293.65,3600.18,379.91,0.27,86.77,466.95,293.13,0.0,42.84,802.92,827.32,653.11,177.15,37.94,1101.74,2797.26,3600.18,246.35,202.5,0.0,0.0,27.6,29.21,0.0,0.0,0.0,827.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,30.59,30.59,3679.05,3679.05,3709.64,0.25,33.06,9.79,10.45,53.55,0.03,208.7,104.29,7.06,320.08,4083.27,433.52,1.43,21.04,455.99,366.98,0.0,48.72,871.69,1345.75,674.62,217.76,73.35,900.1,3211.58,4083.27,232.24,220.0,0.0,0.0,39.9,29.21,0.0,0.0,0.0,1345.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,30.59,30.59,4175.29,4175.29,4205.88,0.81,59.44,13.79,11.83,85.87,0.07,234.21,94.09,7.75,336.12,4627.87,443.31,1.19,167.51,612.01,396.77,0.0,70.93,1079.71,2179.61,576.33,177.47,97.99,516.76,3548.16,4627.87,517.65,36.8,0.0,0.0,35.3,29.21,0.0,0.0,0.0,2179.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
