Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,579.58,6.4,585.98,404.91,2.25,25.03,10.57,19.12,10.65,0.0,54.08,59.37,14.75,74.12,2.15,71.97,-6.2,65.77,8.31,57.46,57.46,30.59,852.38,3.8,3.8,9.84,64.35,5.45,100.0,36.65
2012-12-31,528.07,6.21,534.28,427.16,1.05,-35.03,10.64,20.05,10.75,0.0,67.46,32.2,1.58,33.78,2.64,31.14,-2.32,28.82,4.84,23.98,23.98,30.59,876.36,1.6,1.6,9.84,64.35,5.45,100.0,35.65
2013-03-31,625.44,6.69,632.13,449.27,0.76,15.92,9.51,25.72,14.69,0.0,64.48,51.78,6.61,58.39,4.2,54.19,-8.02,46.17,7.42,38.75,38.75,30.59,893.73,2.5,2.5,9.84,64.35,5.45,100.0,35.65
2013-06-30,549.18,4.58,553.76,433.53,2.3,-18.6,9.61,22.52,11.48,0.0,52.99,39.93,7.71,47.64,3.46,44.18,0.0,44.18,10.26,33.92,33.92,30.59,0.0,2.2,2.2,9.82,64.22,5.47,100.0,35.78
2013-09-30,587.45,5.68,593.13,480.92,1.69,-50.21,10.03,20.47,12.1,0.0,53.83,64.3,31.12,95.42,3.37,92.05,10.38,102.43,22.45,79.98,79.98,30.59,0.0,5.2,5.2,9.82,64.22,5.47,100.0,35.78
2013-12-31,557.55,5.55,563.1,378.39,3.36,58.16,7.83,21.33,12.67,0.0,49.73,31.63,3.47,35.1,3.49,31.61,0.0,31.61,7.14,24.47,24.47,30.59,0.0,1.6,1.6,9.82,64.22,5.47,100.0,35.78
2014-03-31,642.49,6.56,649.05,483.09,3.86,-14.02,9.6,20.51,12.24,0.0,70.95,62.82,6.05,68.87,3.08,65.79,0.0,65.79,-3.52,69.31,69.31,30.59,1072.78,4.5,4.5,9.81,64.14,5.48,100.0,35.86
2014-06-30,567.31,4.7,572.01,428.35,3.09,-2.6,8.62,22.59,13.89,0.0,55.95,42.12,7.53,49.65,3.26,46.39,0.0,46.39,11.71,34.68,34.68,30.59,0.0,2.3,2.3,9.81,64.14,5.48,100.0,35.86
2014-09-30,630.65,6.18,636.83,505.81,4.92,-40.35,9.35,23.72,14.13,39.41,13.82,66.02,37.04,103.06,3.29,99.77,0.0,99.77,20.83,78.94,78.94,30.59,0.0,5.2,5.2,9.81,64.14,5.48,100.0,35.86
2014-12-31,577.76,4.31,582.07,403.68,4.09,24.63,9.57,22.62,14.4,42.47,13.43,47.18,4.76,51.94,3.29,48.65,0.0,48.65,10.46,38.19,38.19,30.59,0.0,2.5,2.5,9.81,64.14,5.48,100.0,35.86
2015-03-31,654.02,4.17,658.19,419.93,1.75,69.91,3.3,25.03,21.55,47.17,29.8,39.75,9.14,48.89,3.07,45.82,22.52,68.34,21.48,46.86,46.86,30.59,0.0,3.1,3.1,9.81,64.14,5.48,100.0,35.86
2015-06-30,584.91,3.38,588.29,518.98,4.17,-99.99,10.55,25.16,13.11,40.85,15.57,59.89,8.55,68.44,3.1,65.34,0.0,65.34,17.32,48.02,48.02,30.59,0.0,3.1,3.1,9.81,64.14,5.48,100.0,35.86
2015-09-30,600.89,4.52,605.41,389.57,6.78,40.02,11.59,26.15,13.21,38.18,17.67,62.24,28.0,90.24,2.64,87.6,0.0,87.6,22.69,64.91,64.91,30.59,0.0,4.2,4.2,9.81,64.14,5.48,100.0,35.86
2015-12-31,582.78,3.89,586.67,408.29,4.93,3.76,10.05,26.36,13.35,39.32,15.53,65.08,9.67,74.75,1.92,72.83,0.0,72.83,20.1,52.73,52.73,30.59,0.0,3.4,3.4,0.0,0.0,0.0,0.0,0.0
2016-03-31,675.58,5.14,680.72,413.28,5.62,25.98,10.24,29.89,17.56,36.34,47.76,94.05,17.86,111.91,1.29,110.62,0.0,110.62,27.44,83.18,83.18,30.59,0.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0
2016-06-30,593.08,3.49,596.57,515.97,3.85,-87.58,0.0,28.11,11.78,3.78,42.02,78.64,13.87,92.51,1.24,91.27,0.0,91.27,24.09,67.18,67.18,30.59,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.0
2016-09-30,610.31,3.92,614.23,466.59,7.5,-36.95,0.0,31.93,11.85,0.77,44.62,87.92,55.23,143.15,1.25,141.9,0.0,141.9,37.1,104.8,104.8,30.59,0.0,6.9,6.9,0.0,0.0,0.0,0.0,0.0
2016-12-31,668.94,6.41,675.35,502.67,13.73,-1.15,0.0,26.84,11.9,4.3,48.81,68.25,16.91,85.16,1.25,83.91,0.0,83.91,15.48,68.43,68.43,30.59,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0
2017-03-31,775.37,9.23,784.6,552.63,8.15,7.34,0.0,32.31,12.51,0.0,83.06,88.6,14.2,102.8,0.55,102.25,0.0,102.25,26.78,75.47,75.47,30.59,0.0,4.9,4.9,0.0,0.0,0.0,0.0,0.0
2017-06-30,673.95,0.0,673.95,491.25,10.15,-17.25,0.0,30.91,11.82,0.0,48.87,98.2,31.31,129.51,0.0,129.51,0.0,129.51,27.61,101.9,101.9,30.59,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0
2017-09-30,687.97,0.0,687.97,538.37,6.0,-23.42,0.0,32.46,11.46,0.0,49.94,87.38,54.68,142.06,0.0,142.06,0.0,142.06,42.39,99.67,99.67,30.59,0.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0
2017-12-31,656.78,0.0,656.78,468.73,7.64,-2.37,0.0,32.48,10.65,0.0,52.22,87.43,17.8,105.23,0.0,105.23,0.0,105.23,30.36,74.87,74.87,30.59,0.0,4.9,4.9,0.0,0.0,0.0,0.0,0.0
2018-03-31,795.96,0.0,795.96,545.39,12.32,11.13,0.0,39.61,9.87,0.0,72.13,105.51,23.61,129.12,1.44,127.68,0.0,127.68,45.92,81.76,81.76,30.59,0.0,5.3,5.3,0.0,0.0,0.0,0.0,0.0
2018-06-30,791.18,0.0,791.18,601.08,12.36,-35.32,0.0,35.61,9.74,0.0,47.67,120.04,20.1,140.14,0.3,139.84,0.0,139.84,49.5,90.34,90.34,30.59,0.0,5.91,5.91,0.0,0.0,0.0,0.0,0.0
2018-09-30,713.97,0.0,713.97,496.56,8.44,37.68,0.0,38.78,11.03,0.0,46.67,74.81,58.42,133.23,0.32,132.91,0.0,132.91,40.0,92.91,92.91,30.59,0.0,6.07,6.07,0.0,0.0,0.0,0.0,0.0
2018-12-31,749.56,0.0,749.56,625.91,11.87,-98.74,0.0,34.99,9.73,0.0,65.94,99.86,19.34,119.2,0.03,119.17,0.0,119.17,43.23,75.94,75.94,30.59,0.0,4.97,4.97,0.0,0.0,0.0,0.0,0.0
2019-03-31,823.08,0.0,823.08,568.54,13.21,23.35,0.0,31.32,10.05,0.0,60.37,116.24,23.97,140.21,0.27,139.94,0.0,139.94,55.04,84.9,84.9,30.59,0.0,5.55,5.55,0.0,0.0,0.0,0.0,0.0
2019-06-30,807.74,0.0,807.74,545.88,12.35,26.84,0.0,37.69,9.9,0.0,78.98,96.1,21.97,118.07,0.22,117.85,0.0,117.85,36.28,81.57,81.57,30.59,0.0,5.33,5.33,0.0,0.0,0.0,0.0,0.0
2019-09-30,715.76,0.0,715.76,485.88,15.17,21.63,0.0,39.0,9.8,0.0,69.68,74.6,64.71,139.31,0.23,139.08,0.0,139.08,15.96,123.12,123.12,30.59,0.0,8.05,8.05,0.0,0.0,0.0,0.0,0.0
2019-12-31,702.36,0.0,702.36,474.65,11.57,28.11,0.0,36.88,9.64,0.0,58.76,82.75,26.52,109.27,0.37,108.9,0.0,108.9,28.27,80.63,80.63,30.59,0.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0
2020-03-31,651.44,0.0,651.44,519.74,18.08,-76.55,0.0,35.96,9.57,0.0,67.1,77.54,58.69,136.23,0.73,135.5,0.0,135.5,18.34,117.16,117.16,30.59,0.0,7.66,7.66,0.0,0.0,0.0,0.0,0.0
2020-06-30,377.12,0.0,377.12,160.56,4.98,117.91,0.0,33.96,10.02,0.0,25.17,24.52,22.48,47.0,0.17,46.83,0.0,46.83,11.85,34.98,34.98,30.59,0.0,2.29,2.29,0.0,0.0,0.0,0.0,0.0
2020-09-30,639.41,0.0,639.41,570.04,18.54,-123.92,0.0,33.91,9.79,0.0,58.48,72.57,19.76,92.33,0.18,92.15,0.0,92.15,23.07,69.08,69.08,30.59,0.0,4.51,4.51,0.0,0.0,0.0,0.0,0.0
2020-12-31,830.23,0.0,830.23,654.59,21.53,-55.39,0.0,38.25,8.48,0.0,64.61,98.16,18.72,116.88,0.17,116.71,0.0,116.71,33.96,82.75,82.75,30.59,0.0,5.41,5.41,0.0,0.0,0.0,0.0,0.0
2021-03-31,921.35,0.0,921.35,744.72,31.19,-93.31,0.0,31.75,10.67,0.0,75.69,120.64,16.03,136.67,0.24,136.43,0.0,136.43,40.35,96.08,96.08,30.59,0.0,6.29,6.29,0.0,0.0,0.0,0.0,0.0
2021-06-30,675.36,0.0,675.36,535.17,21.76,-29.97,0.0,35.13,9.89,0.0,42.96,60.42,15.55,75.97,0.14,75.83,0.0,75.83,20.75,55.08,55.08,30.59,0.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0
2021-09-30,932.98,0.0,932.98,611.91,22.3,80.82,0.0,37.84,9.93,0.0,60.52,109.66,97.72,207.38,0.15,207.23,0.0,207.23,57.5,149.73,149.73,30.59,0.0,9.79,9.79,0.0,0.0,0.0,0.0,0.0
2021-12-31,972.95,0.0,972.95,769.75,25.08,-31.25,0.0,39.95,10.05,0.0,60.72,98.65,18.59,117.24,0.09,117.15,0.0,117.15,21.95,95.2,95.2,30.59,0.0,6.23,6.23,0.0,0.0,0.0,0.0,0.0
2022-03-31,1186.85,0.0,1186.85,876.79,24.69,59.23,0.0,33.16,8.98,0.0,76.4,107.6,19.95,127.55,1.14,126.41,0.0,126.41,21.81,104.6,104.6,30.59,0.0,6.84,6.84,0.0,0.0,0.0,0.0,0.0
2022-06-30,1015.65,0.0,1015.65,871.76,24.42,-93.88,0.0,40.77,9.37,0.0,58.91,104.3,17.16,121.46,0.13,121.33,0.0,121.33,25.76,95.57,95.57,30.59,0.0,6.25,6.25,0.0,0.0,0.0,0.0,0.0
2022-09-30,1090.83,0.0,1090.83,743.9,20.47,121.74,0.0,40.48,10.69,0.0,71.36,82.19,106.17,188.36,0.13,188.23,0.0,188.23,51.51,136.72,136.72,30.59,0.0,8.94,8.94,0.0,0.0,0.0,0.0,0.0
2022-12-31,1150.31,0.0,1150.31,904.42,15.82,-27.58,0.0,42.13,11.2,0.0,74.23,130.09,32.98,163.07,0.13,162.94,0.0,162.94,28.07,134.87,134.87,30.59,0.0,8.82,8.82,0.0,0.0,0.0,0.0,0.0
2023-03-31,1224.32,0.0,1224.32,939.24,17.88,6.29,0.0,39.29,15.14,0.0,73.91,132.57,41.82,174.39,0.85,173.54,0.0,173.54,38.96,134.58,134.58,30.59,0.0,8.8,8.8,0.0,0.0,0.0,0.0,0.0
2023-06-30,1204.25,0.0,1204.25,883.29,17.55,49.16,0.0,42.66,10.5,0.0,67.19,133.9,38.81,172.71,0.29,172.42,0.0,172.42,40.18,132.24,132.24,30.59,0.0,8.65,8.65,0.0,0.0,0.0,0.0,0.0
2023-09-30,1187.44,0.0,1187.44,997.7,18.18,-92.92,0.0,42.6,10.84,0.0,77.68,133.36,84.54,217.9,0.44,217.46,0.0,217.46,52.07,165.39,165.39,30.59,0.0,10.81,10.81,0.0,0.0,0.0,0.0,0.0
2023-12-31,1221.68,0.0,1221.68,901.93,21.1,42.78,0.0,45.11,10.86,0.0,77.65,122.25,45.03,167.28,0.42,166.86,0.0,166.86,39.11,127.75,127.75,30.59,0.0,8.35,8.35,0.0,0.0,0.0,0.0,0.0
2024-03-31,1401.02,0.0,1401.02,1034.5,19.09,55.97,0.0,46.94,11.65,0.0,85.55,147.32,49.67,196.99,0.88,196.11,0.0,196.11,49.89,146.22,146.22,30.59,0.0,9.56,9.56,0.0,0.0,0.0,0.0,0.0
2024-06-30,1230.48,0.0,1230.48,1223.59,21.58,-252.49,0.0,45.69,10.71,0.0,71.76,109.64,46.33,155.97,0.4,155.57,0.0,155.57,33.06,122.51,122.51,30.59,0.0,8.01,8.01,0.0,0.0,0.0,0.0,0.0
2024-09-30,1311.72,0.0,1311.72,823.65,18.49,245.87,0.0,47.46,11.75,0.0,77.74,86.76,101.83,188.59,0.38,188.21,0.0,188.21,42.12,146.09,146.09,30.59,0.0,9.55,9.55,0.0,0.0,0.0,0.0,0.0
2024-12-31,1182.11,0.0,1182.11,1065.85,15.07,-152.21,0.0,47.51,11.73,0.0,76.87,117.29,44.74,162.03,0.39,161.64,0.0,161.64,37.7,123.94,123.94,30.59,0.0,8.1,8.1,0.0,0.0,0.0,0.0,0.0
