Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%)
2012-12-31,7065.8,2742.42,136.25,193.82,2214.62,6639.27,940.64,1320.52,3452.48,368.73,0.0,3083.75,833.51,2250.24,2250.24,1153.36,65961.38,0.01,19.53,0.0,19.51,19.42,9763.39,2181.53,3.31,0.76,1.8,115.33,100.0
2013-03-31,6970.69,2820.4,134.29,439.95,2208.19,6562.11,999.74,1407.55,3604.12,460.02,0.0,3144.1,840.03,2304.07,2304.07,1153.64,65547.84,0.01,0.0,18.74,19.98,19.87,9607.75,2230.56,3.22,0.77,1.82,115.36,100.0
2013-06-30,7195.64,2884.63,57.71,282.7,2484.29,6600.21,1089.43,1401.17,3814.16,593.18,0.0,3220.98,946.77,2274.21,2274.21,1154.11,68920.31,0.01,0.0,18.35,19.71,19.61,10009.41,2462.76,3.23,0.82,1.75,115.41,100.0
2013-09-30,7736.87,2839.08,47.03,190.29,2166.48,6769.76,871.55,1450.56,3887.88,624.8,0.0,3263.08,911.03,2352.05,2352.05,1154.45,71943.42,0.03,0.0,17.63,20.38,20.33,10028.45,2697.63,3.08,0.85,1.72,115.44,100.0
2013-12-31,8223.83,2922.17,33.62,275.33,2801.01,7199.89,996.87,1620.16,4439.04,694.64,0.0,3744.4,1212.19,2532.21,2532.21,1154.59,72895.97,0.03,0.0,17.81,21.93,21.85,10399.13,3118.44,3.05,0.94,1.76,115.45,100.0
2014-03-31,8271.59,2911.17,61.62,244.87,2976.09,7132.73,1262.26,1616.86,4453.49,713.78,0.0,3739.71,1087.7,2652.01,2652.01,1155.04,72051.71,0.03,0.0,19.08,22.97,22.87,10505.84,3297.96,3.03,0.97,1.86,115.48,100.0
2014-06-30,8392.18,2977.19,49.27,348.26,2849.81,7275.01,1246.86,1578.12,4516.72,726.08,0.0,3790.64,1135.34,2655.3,2655.3,1156.22,74735.47,0.04,0.0,0.0,22.98,22.8,10843.3,3428.52,3.05,0.99,1.83,115.6,100.0
2014-09-30,8874.04,2972.19,53.77,250.56,2738.39,7493.92,1086.39,1610.73,4697.91,849.49,0.0,3848.42,1139.41,2709.01,2709.01,1157.46,77712.85,0.05,0.0,0.0,23.42,23.21,11546.7,3942.33,3.12,1.09,1.82,115.73,100.0
2014-12-31,9031.82,3011.99,53.13,338.27,3091.67,7623.55,1117.83,1748.51,5036.99,979.69,0.0,4057.3,1168.26,2889.04,2889.04,1158.51,80654.85,0.06,0.0,0.0,4.99,4.94,13082.62,4773.1,3.4,1.27,1.9,579.15,100.0
2015-03-31,9333.04,2983.2,38.93,383.3,3496.26,7659.05,1298.8,1808.59,5468.29,1344.73,0.0,4123.56,1201.56,2922.0,2922.0,1159.66,79262.26,0.06,0.0,0.0,5.04,4.99,15094.69,6255.53,3.78,1.61,1.92,579.72,100.0
2015-06-30,9375.22,2659.12,31.53,746.69,2989.89,7697.47,1267.28,1799.9,5037.8,955.39,0.0,4082.41,1106.25,2976.16,2976.16,1161.01,82190.94,0.07,0.0,0.0,5.13,5.09,15137.61,6333.31,3.68,1.58,1.91,580.4,100.0
2015-09-30,9664.55,2661.4,31.47,741.45,3007.35,7847.39,1212.59,1887.81,5158.43,942.16,0.0,4216.27,1186.16,3030.11,3030.11,1161.75,85396.93,0.08,0.0,0.0,5.22,5.18,15857.82,6759.29,3.77,1.65,1.89,580.77,100.0
2015-12-31,9862.87,2652.48,36.22,794.5,4216.88,7893.11,1140.43,1969.61,6559.8,2844.05,0.0,3715.75,697.62,3018.13,3018.13,1162.65,88422.88,0.11,0.0,0.0,5.2,5.17,21149.19,9907.83,4.72,2.28,1.82,0.0,0.0
2016-03-31,10040.51,2652.35,59.02,730.05,5108.93,8077.42,1382.05,2023.89,7107.5,3326.21,-3600.0,181.29,-520.6,701.89,701.89,1163.17,85748.24,0.14,0.0,0.0,1.21,1.2,26720.93,13296.75,5.21,2.67,0.41,0.0,0.0
2016-06-30,9837.31,2810.87,50.05,632.02,3429.26,8171.73,1290.65,2082.4,5214.73,2514.52,0.0,2700.21,467.86,2232.35,2232.35,1163.6,87956.17,0.15,0.0,0.0,3.84,3.83,27193.58,15040.7,5.87,3.35,1.27,0.0,0.0
2016-09-30,9905.36,2996.86,37.93,699.25,9119.68,8386.11,1556.66,2180.24,10636.07,7082.69,0.0,3553.38,451.11,3102.27,3102.27,1164.01,91021.77,0.12,0.0,0.0,5.33,5.31,32178.6,16214.86,6.82,3.57,1.7,0.0,0.0
2016-12-31,9870.0,2947.68,125.55,674.87,3938.31,8254.75,1405.95,2371.79,5523.92,2712.7,0.0,2811.22,369.4,2441.82,2441.82,1164.33,93519.48,0.12,0.0,0.0,4.2,4.18,37716.73,19887.22,7.91,4.35,1.3,0.0,0.0
2017-03-31,9990.72,2621.66,281.93,674.22,3017.23,7606.37,1480.45,2386.92,5112.02,2898.22,0.0,2213.8,189.16,2024.64,2024.64,1165.11,95737.57,0.19,0.0,0.0,3.48,3.46,42551.54,25451.03,7.89,4.89,1.1,0.0,0.0
2017-06-30,9847.31,2827.13,198.5,586.19,3387.91,7869.29,1511.16,2283.28,5183.31,2608.74,0.0,2574.57,525.57,2049.0,2049.0,1282.78,96293.71,0.17,0.0,0.0,3.2,3.17,43147.64,25306.21,7.99,4.86,1.09,0.0,0.0
2017-09-30,10090.26,2878.91,144.82,463.06,5186.24,7867.98,1514.06,2394.75,6986.5,4502.93,0.0,2483.57,425.38,2058.19,2058.19,1283.58,98456.52,0.14,0.0,0.0,3.21,3.18,44488.54,24129.78,7.87,4.43,1.08,0.0,0.0
2017-12-31,10238.14,2860.71,154.04,412.46,3166.87,7960.08,1362.55,2451.84,5057.75,3569.56,0.0,1488.19,-162.05,1650.24,1650.24,1284.67,100168.25,0.16,0.0,0.0,2.57,2.55,46038.7,23810.25,7.82,4.2,0.83,0.0,0.0
2018-03-31,10690.49,3001.42,166.01,406.44,5678.61,8242.69,1526.18,2660.12,7513.98,6625.75,0.0,888.23,-131.77,1020.0,1020.0,1285.81,100864.37,0.17,0.0,0.0,1.59,1.57,54062.51,27886.27,8.84,4.77,0.5,0.0,0.0
2018-06-30,10981.8,3135.82,226.55,378.19,3851.81,8620.46,1513.88,2631.45,5808.38,5971.29,0.0,-162.91,-43.36,-119.55,-119.55,1286.56,101046.23,0.2,0.0,0.0,-0.19,-0.18,53464.94,24170.09,8.81,4.19,-0.06,0.0,0.0
2018-09-30,11511.75,3086.25,147.47,360.16,3156.49,8688.05,1661.37,2662.99,5249.71,3994.29,0.0,1255.42,346.54,908.88,908.88,1287.24,101079.76,0.2,0.0,0.0,1.41,1.4,54488.96,22085.68,8.54,3.65,0.43,0.0,0.0
2018-12-31,12523.87,3236.84,134.8,384.89,3882.85,9405.15,1734.0,2877.68,6146.42,4244.15,0.0,1902.27,297.36,1604.91,1604.91,1288.38,102873.78,0.23,0.0,0.0,2.49,2.46,51591.47,16252.44,7.75,2.58,0.73,0.0,0.0
2019-03-31,12925.2,3337.97,227.27,802.36,3621.02,9672.74,1898.99,3108.7,6233.39,5451.41,0.0,781.98,-187.08,969.06,969.06,1289.46,104029.4,0.25,0.0,0.0,1.5,1.48,46291.63,13577.43,6.7,2.06,0.43,0.0,0.0
2019-06-30,13616.42,3645.44,147.48,570.72,3425.44,10242.63,1953.3,2921.11,6288.46,3495.73,0.0,2792.73,884.7,1908.03,1908.03,1290.73,106059.73,0.3,0.0,0.0,2.96,2.91,45763.08,11856.54,6.49,1.77,0.81,0.0,0.0
2019-09-30,14304.0,3725.89,136.22,399.19,4194.22,10507.87,2141.32,3236.23,6874.1,2506.87,0.0,4367.23,3712.27,654.96,654.96,1292.15,106269.32,0.3,0.0,0.0,1.01,1.0,45638.79,10916.4,6.37,1.6,0.27,0.0,0.0
2019-12-31,14795.57,3678.93,184.24,405.54,4573.98,10518.96,1942.11,3628.56,7548.63,2083.2,0.0,5465.43,1318.97,4146.46,4146.46,1294.08,110659.0,0.31,0.0,0.0,6.41,6.3,43453.86,10388.5,5.95,1.49,1.68,0.0,0.0
2020-03-31,14835.12,3622.95,214.21,516.4,4254.98,10261.79,2234.51,3557.27,7390.09,5967.44,0.0,1422.65,201.29,1221.36,1221.36,1294.76,112091.29,0.31,0.0,0.0,1.89,1.86,41409.16,10113.86,5.53,1.41,0.49,0.0,0.0
2020-06-30,14576.67,4190.71,444.82,712.15,6142.6,10644.6,2166.08,2479.82,10776.45,7593.95,0.0,3182.5,583.35,2599.15,2599.15,1295.41,114205.75,0.34,0.0,0.0,4.01,3.98,40386.24,8674.65,5.46,1.23,0.95,0.0,0.0
2020-09-30,14037.91,4313.78,421.13,849.64,4028.31,10256.37,1967.34,3165.97,8261.09,2995.27,0.0,5265.82,1014.49,4251.33,4251.33,1379.46,133154.55,0.34,0.0,0.0,6.35,6.29,38989.19,7187.51,5.17,1.0,1.5,0.0,0.0
2020-12-31,14034.81,4120.45,458.13,1116.4,4686.27,9817.33,1949.93,3829.04,8819.76,2741.72,0.0,6078.04,1138.45,4939.59,4939.59,1380.95,138269.45,0.34,0.0,0.0,7.16,7.05,34860.43,4860.55,4.38,0.63,1.7,0.0,0.0
2021-03-31,14639.42,3914.84,307.83,979.58,4111.35,9410.54,2008.43,3994.22,8539.83,2883.47,0.0,5656.36,1253.75,4402.61,4402.61,1383.41,143029.08,0.34,0.0,0.0,6.37,6.25,41373.42,9180.2,4.96,1.14,1.51,0.0,0.0
2021-06-30,14984.58,4041.51,140.77,1216.55,3995.86,9447.65,2374.39,3662.83,8894.4,2851.69,0.0,6042.71,1426.69,4616.02,4616.02,1385.22,147894.71,0.2,0.0,0.0,6.67,6.54,43148.28,9305.83,5.15,1.16,1.54,0.0,0.0
2021-09-30,15738.09,4098.07,259.5,1137.98,4797.18,9543.9,2384.59,4187.61,9914.72,2713.48,0.0,7201.24,1690.29,5510.95,5510.95,1387.09,152176.34,0.2,0.0,0.0,7.95,7.79,41437.41,8161.04,4.82,0.99,1.79,0.0,0.0
2021-12-31,16234.21,4050.3,547.58,1250.51,4987.07,9846.56,2484.84,4590.02,10148.25,2007.3,0.0,8140.95,1947.14,6193.81,6193.81,1388.88,158389.81,0.19,0.0,0.0,8.93,8.74,37052.74,7343.88,4.13,0.85,1.9,0.0,0.0
2022-03-31,16876.68,4219.39,612.98,965.85,4737.42,10070.34,2428.93,4620.11,10292.94,1068.95,0.0,9223.99,2205.28,7018.71,7018.71,1389.97,165659.93,0.19,0.0,0.0,10.1,9.9,33919.52,6960.89,3.6,0.76,2.11,0.0,0.0
2022-06-30,17634.32,4581.78,481.38,974.06,4665.2,10461.52,2849.21,4717.12,10308.89,1143.82,0.0,9165.07,2260.13,6904.94,6904.94,1391.48,172904.46,0.19,0.0,0.0,9.93,9.75,33163.15,6656.15,3.41,0.7,1.98,0.0,0.0
2022-09-30,19928.87,5123.36,348.3,632.51,5054.87,11246.23,2888.53,5272.83,11680.32,1644.52,0.0,10035.8,2477.96,7557.84,7557.84,1393.79,177407.93,0.2,0.0,0.0,10.86,10.64,32570.86,6099.29,3.19,0.61,2.06,0.0,0.0
2022-12-31,22180.28,5343.57,470.08,511.7,5023.63,12040.65,2921.18,5296.21,13271.22,2257.44,0.0,11013.78,2701.93,8311.85,8311.85,1395.62,186042.33,0.2,0.0,0.0,11.92,11.68,32528.24,5651.22,3.07,0.55,2.2,0.0,0.0
2023-03-31,24199.5,5839.75,550.75,431.13,5087.75,13354.34,3401.01,5527.15,13826.38,1619.8,0.0,12206.58,3084.71,9121.87,9121.87,1396.78,195495.25,0.2,0.0,0.0,13.07,12.83,31183.7,5155.07,2.81,0.48,2.39,0.0,0.0
2023-06-30,25844.15,6618.0,412.7,452.76,5435.25,15101.15,3883.66,5638.93,14139.12,1292.44,0.0,12846.68,3198.48,9648.2,9648.2,1399.54,205587.83,0.2,0.0,0.0,13.8,13.54,31822.39,5381.77,2.76,0.48,2.39,0.0,0.0
2023-09-30,27118.87,7020.31,494.34,286.87,5776.68,16612.48,3725.42,6129.9,14229.27,582.63,0.0,13646.64,3385.64,10261.0,10261.0,1400.83,210508.56,0.21,0.0,0.0,14.66,14.4,29836.94,5046.47,2.48,0.43,2.41,0.0,0.0
2023-12-31,28557.51,7210.67,454.19,472.21,6097.06,18016.03,3812.67,6239.32,14723.62,1049.37,0.0,13674.25,3402.71,10271.54,10271.54,1403.18,221.13,0.22,0.0,0.0,14.65,14.4,28774.63,5378.48,2.3,0.44,2.32,0.0,0.0
2024-03-31,29423.4,7782.01,430.16,312.79,5648.78,18855.56,3720.24,5982.59,15038.75,718.49,0.0,14320.26,3612.73,10707.53,10707.53,1404.68,232505.97,0.22,0.0,0.0,15.26,14.99,27961.68,5377.79,2.16,0.42,2.36,0.0,0.0
2024-06-30,30108.54,8156.58,443.0,287.66,7001.92,19442.87,4370.51,6159.48,16024.84,1332.18,0.0,14692.66,3633.55,11059.11,11059.11,1407.45,247987.56,0.22,0.0,0.0,15.73,15.46,28718.63,5684.79,2.15,0.43,2.36,0.0,0.0
2024-09-30,31426.45,8311.33,517.11,282.49,7176.66,20489.4,4136.14,6365.32,16723.18,1233.09,0.0,15490.09,3744.21,11745.88,11745.88,1409.45,0.0,0.22,0.0,0.0,16.68,16.4,27121.15,5685.14,1.97,0.42,2.4,0.0,0.0
2024-12-31,32048.4,8302.14,489.59,459.69,7068.05,20929.21,3929.05,6623.06,16886.55,1226.65,0.0,15659.9,3867.48,11792.42,11792.42,1412.11,0.0,0.22,0.0,0.0,16.72,16.45,27745.33,5897.76,1.96,0.42,2.36,0.0,0.0
2025-03-31,32821.33,8210.18,706.12,693.17,7260.07,21237.86,4105.18,6683.58,17664.25,890.7,0.0,16773.55,4143.97,12629.58,12629.58,1424.6,0.0,0.22,0.0,0.0,17.87,17.6,24166.18,5589.41,1.67,0.39,2.52,0.0,0.0
