Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1904.98,29.71,1934.69,21.87,1.93,2.77,31.86,40.71,1835.54,20.28,1855.82,1535.32,320.5,320.5,84.25,236.25,236.25,100.93,4.68,4.68,30.12,59.69,20.34,100.0,40.31
2013-03-31,2028.13,26.61,2054.74,26.23,1.97,7.62,-3.49,58.78,1963.63,20.01,1983.64,1567.32,416.32,416.32,100.16,316.16,316.16,100.93,6.27,6.27,30.12,59.69,20.34,100.0,40.31
2013-06-30,2130.26,18.61,2148.87,26.31,1.96,0.34,17.1,32.67,2070.49,29.07,2099.56,1675.54,424.02,424.02,113.51,310.51,310.51,100.93,6.15,6.15,30.12,59.69,20.34,100.0,40.31
2013-09-30,2223.71,22.8,2246.51,27.97,1.99,2.81,34.07,41.61,2138.06,55.9,2193.96,1770.31,423.66,423.66,113.59,310.07,310.07,100.93,6.14,6.14,30.12,59.69,20.34,100.0,40.31
2013-12-31,2311.96,30.74,2342.7,24.03,1.82,5.35,-7.45,42.07,2276.88,33.67,2310.55,1854.3,456.25,456.25,129.66,326.59,326.59,100.93,6.47,6.47,30.12,59.69,20.34,100.0,40.31
2014-03-31,2407.41,35.9,2443.31,25.53,1.85,11.07,-22.25,65.87,2361.23,34.64,2395.87,1874.29,521.58,521.58,151.56,370.02,370.02,100.93,7.33,7.33,30.12,59.69,20.34,100.0,40.31
2014-06-30,2482.59,26.54,2509.13,28.05,2.45,2.99,9.16,36.41,2430.06,34.46,2464.52,1976.36,488.16,488.16,165.85,322.31,322.31,100.93,6.39,6.39,30.12,59.69,20.34,100.0,40.31
2014-09-30,2596.08,31.49,2627.57,29.31,2.13,13.14,-19.03,51.89,2550.13,31.12,2581.25,2064.27,516.98,516.98,175.63,341.35,341.35,100.93,6.76,6.76,30.12,59.69,20.34,100.0,40.31
2014-12-31,2667.8,32.36,2700.16,36.36,2.48,2.3,6.8,47.1,2605.12,35.63,2640.75,2119.23,521.51,521.51,177.16,344.35,344.35,100.93,6.82,6.82,30.12,59.69,20.34,100.0,40.31
2015-03-31,2800.21,32.29,2832.49,35.59,2.32,10.34,10.32,76.35,2697.57,28.1,2725.67,2150.38,575.29,575.29,197.11,378.18,378.18,100.93,7.5,7.5,30.12,59.69,20.34,100.0,40.31
2015-06-30,2917.4,28.48,2945.89,31.7,2.33,1.01,44.35,48.51,2817.99,19.57,2837.56,2258.54,579.02,579.02,196.89,382.13,382.13,100.93,7.57,7.57,30.12,59.69,20.34,100.0,40.31
2015-09-30,3026.03,38.62,3064.65,36.16,2.45,2.62,30.05,64.75,2928.61,24.71,2953.32,2309.08,644.24,644.24,232.5,411.74,411.74,100.93,8.16,8.16,0.0,0.0,0.0,0.0,0.0
2015-12-31,3101.76,37.46,3139.22,43.17,2.46,7.72,34.43,68.03,2983.41,17.48,3000.9,2354.88,646.02,646.02,227.12,418.9,418.9,100.93,8.3,8.3,0.0,0.0,0.0,0.0,0.0
2016-03-31,3246.4,0.0,3246.4,39.32,2.48,0.0,37.63,115.97,3050.99,27.54,3078.53,2384.26,694.27,694.27,246.25,448.02,448.02,100.93,8.88,8.88,0.0,0.0,0.0,0.0,0.0
2016-06-30,3326.33,33.35,3359.69,68.26,2.23,1.28,116.46,66.39,3105.07,20.17,3125.24,2501.81,623.43,623.43,215.59,407.84,407.84,100.93,8.08,8.08,0.0,0.0,0.0,0.0,0.0
2016-09-30,3428.31,28.14,3456.45,59.18,2.3,1.3,30.31,73.58,3289.79,33.46,3323.25,2562.6,760.64,760.64,265.88,494.76,494.76,100.93,9.8,9.8,0.0,0.0,0.0,0.0,0.0
2016-12-31,3512.53,15.4,3527.93,61.52,2.42,7.67,45.27,69.08,3341.97,20.79,3362.75,2597.15,765.6,765.6,266.34,499.26,499.26,100.93,9.89,9.89,0.0,0.0,0.0,0.0,0.0
2017-03-31,3642.87,0.0,3642.87,56.83,2.48,0.0,89.29,137.23,3357.04,18.99,3376.02,2569.93,806.1,806.1,276.91,529.19,529.19,100.93,10.49,10.49,0.0,0.0,0.0,0.0,0.0
2017-06-30,3633.2,0.0,3633.2,54.08,2.45,0.0,104.46,78.85,3393.34,21.39,3414.73,2696.25,718.48,718.48,248.42,470.06,470.06,100.93,9.31,9.31,0.0,0.0,0.0,0.0,0.0
2017-09-30,3687.42,0.0,3687.42,52.02,2.42,0.0,57.83,85.77,3489.39,29.21,3518.6,2770.54,748.06,748.06,258.94,489.12,489.12,100.93,9.69,9.69,0.0,0.0,0.0,0.0,0.0
2017-12-31,3738.1,0.0,3738.1,48.34,2.46,0.0,48.45,96.93,3541.92,29.48,3571.4,2814.81,756.59,756.59,265.51,491.07,491.07,100.93,9.73,9.73,0.0,0.0,0.0,0.0,0.0
2018-03-31,3900.95,0.0,3900.95,63.1,2.65,0.0,28.13,158.43,3648.63,33.16,3681.79,2843.05,838.74,838.74,299.41,539.33,539.33,100.93,10.69,10.69,0.0,0.0,0.0,0.0,0.0
2018-06-30,4018.95,0.0,4018.95,47.29,2.63,0.0,160.75,26.95,3781.33,32.0,3813.33,3024.93,788.4,788.4,220.46,567.94,567.94,100.93,11.25,11.25,0.0,0.0,0.0,0.0,0.0
2018-09-30,4198.22,0.0,4198.22,57.14,2.94,0.0,217.95,40.9,3879.29,4.37,3883.66,3138.32,745.34,745.34,172.18,573.16,573.16,100.93,11.36,11.36,0.0,0.0,0.0,0.0,0.0
2018-12-31,4438.78,0.0,4438.78,69.26,2.98,0.0,-3.14,180.64,4189.04,0.43,4189.47,3329.88,859.59,859.59,263.28,596.31,596.31,100.93,11.82,11.82,0.0,0.0,0.0,0.0,0.0
2019-03-31,4655.14,0.0,4655.14,73.39,3.18,0.0,0.0,194.22,4384.35,0.0,4384.35,3398.11,986.24,986.24,292.66,693.58,693.58,100.93,13.74,13.74,0.0,0.0,0.0,0.0,0.0
2019-06-30,4807.2,0.0,4807.2,61.28,10.22,0.0,0.0,292.23,4443.47,0.0,4443.47,3602.58,840.89,840.89,230.21,610.68,610.68,100.93,12.1,12.1,0.0,0.0,0.0,0.0,0.0
2019-09-30,4972.86,0.0,4972.86,76.95,12.17,0.0,281.47,50.59,4551.68,6.19,4557.87,3701.81,856.06,856.06,83.86,772.2,772.2,100.93,15.3,15.3,0.0,0.0,0.0,0.0,0.0
2019-12-31,4996.46,0.0,4996.46,73.19,12.74,0.0,390.68,59.3,4460.55,0.0,4460.55,3715.23,745.32,745.32,147.79,597.53,597.53,100.93,11.84,11.84,0.0,0.0,0.0,0.0,0.0
2020-03-31,4920.17,0.0,4920.17,87.66,12.94,0.0,27.25,168.14,4624.18,-33.23,4590.95,3764.23,826.72,826.72,405.29,421.43,421.43,100.93,8.35,8.35,0.0,0.0,0.0,0.0,0.0
2020-06-30,5003.71,0.0,5003.71,79.58,12.16,0.0,56.45,47.16,4808.36,-26.22,4782.14,3764.47,1017.67,1017.67,200.19,817.48,817.48,100.93,16.2,16.2,0.0,0.0,0.0,0.0,0.0
2020-09-30,4969.03,0.0,4969.03,78.5,12.39,0.0,103.02,78.48,4696.64,12.81,4709.45,3700.19,1009.26,1009.26,218.36,790.9,790.9,100.93,15.57,15.57,0.0,0.0,0.0,0.0,0.0
2020-12-31,4906.72,0.0,4906.72,75.88,12.63,0.0,180.95,89.84,4547.42,17.27,4564.69,3595.05,969.64,969.64,242.6,727.04,727.04,100.93,14.41,14.41,0.0,0.0,0.0,0.0,0.0
2021-03-31,4967.69,0.0,4967.69,59.22,12.26,0.0,977.19,170.83,3748.19,-3.32,3744.87,3392.87,352.0,352.0,-46.92,398.92,398.92,100.99,7.9,7.9,0.0,0.0,0.0,0.0,0.0
2021-06-30,4857.11,0.0,4857.11,215.23,12.25,0.0,830.41,58.25,3740.97,1.93,3742.9,3549.97,192.93,192.93,39.49,153.44,153.44,100.99,3.04,3.04,0.0,0.0,0.0,0.0,0.0
2021-09-30,4708.01,0.0,4708.01,147.14,12.78,0.0,625.34,114.82,3807.93,6.99,3814.92,3505.97,308.95,308.95,61.09,247.86,247.86,110.08,4.51,4.51,0.0,0.0,0.0,0.0,0.0
2021-12-31,5054.29,0.0,5054.29,97.64,13.21,0.0,355.56,95.18,4492.7,16.1,4508.8,3546.95,961.85,961.85,194.52,767.33,767.33,110.08,13.95,13.95,0.0,0.0,0.0,0.0,0.0
2022-03-31,5299.66,0.0,5299.66,103.31,14.21,0.0,176.93,147.97,4857.24,8.93,4866.17,3551.76,1314.41,1314.41,195.77,1118.64,1118.64,110.08,21.1,21.1,0.0,0.0,0.0,0.0,0.0
2022-06-30,5285.46,0.0,5285.46,97.44,14.69,0.0,307.71,90.74,4774.88,5.52,4780.4,3640.04,1140.36,1140.36,214.88,925.48,925.48,110.08,16.82,16.82,0.0,0.0,0.0,0.0,0.0
2022-09-30,5085.54,0.0,5085.54,111.67,15.98,0.0,373.81,325.31,4258.77,6.48,4265.25,3886.4,378.85,378.85,73.88,304.97,304.97,110.08,5.54,5.54,0.0,0.0,0.0,0.0,0.0
2022-12-31,5870.84,0.0,5870.84,139.5,16.28,0.0,762.61,131.84,4820.61,5.19,4825.8,4232.79,593.01,593.01,112.71,480.3,480.3,110.08,8.73,8.73,0.0,0.0,0.0,0.0,0.0
2023-03-31,6415.11,0.0,6415.11,143.6,18.61,0.0,306.76,113.69,5832.45,0.06,5832.51,4387.73,1444.78,1444.78,264.5,1180.28,1180.28,110.08,21.46,21.46,0.0,0.0,0.0,0.0,0.0
2023-06-30,6746.51,0.0,6746.51,133.1,18.44,0.0,360.81,90.98,6143.18,0.04,6143.22,4494.23,1648.99,1648.99,325.33,1323.66,1323.66,110.08,24.06,24.06,0.0,0.0,0.0,0.0,0.0
2023-09-30,6752.83,0.0,6752.83,138.31,12.22,0.0,419.21,108.93,6074.16,5.92,6080.08,4600.02,1480.06,1480.06,292.01,1188.05,1188.05,110.08,21.6,21.6,0.0,0.0,0.0,0.0,0.0
2023-12-31,6792.47,0.0,6792.47,140.09,17.35,0.0,435.83,104.04,6095.16,0.03,6095.19,4646.5,1448.69,1448.69,285.81,1162.88,1162.88,110.08,21.14,21.14,0.0,0.0,0.0,0.0,0.0
2024-03-31,6936.41,0.0,6936.41,198.49,17.41,0.0,427.87,166.98,6125.66,0.43,6126.09,4649.91,1476.18,1476.18,385.36,1090.82,1090.82,110.08,19.83,19.83,0.0,0.0,0.0,0.0,0.0
2024-06-30,6783.67,0.0,6783.67,151.1,21.62,0.0,143.09,89.4,6378.46,0.02,6378.48,4750.05,1628.43,1628.43,328.22,1300.21,1300.21,110.08,23.64,23.64,0.0,0.0,0.0,0.0,0.0
2024-09-30,6925.81,0.0,6925.81,170.32,22.94,0.0,77.34,117.27,6537.94,6.0,6543.94,4879.58,1664.36,1664.36,335.47,1328.89,1328.89,110.08,24.16,24.16,0.0,0.0,0.0,0.0,0.0
2024-12-31,7057.33,0.0,7057.33,204.36,23.95,0.0,-43.98,128.1,6744.9,0.02,6744.92,4951.48,1793.44,1793.44,361.48,1431.96,1431.96,110.08,26.03,26.03,0.0,0.0,0.0,0.0,0.0
2025-03-31,7283.33,0.0,7283.33,176.12,25.42,0.0,109.38,252.03,6720.38,0.04,6720.42,4950.84,1769.58,1769.58,401.62,1367.96,1367.96,110.08,24.87,24.87,0.0,0.0,0.0,0.0,0.0
